att_id,candidate_cwe,score,rationale,feature_scores
T1564.012,CWE-73,0.2095,boost_common_term:file,"{""title_sim"": 0.4210526315789474, ""desc_sim"": 0.09793229780124112, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01904761904761905}"
T1564.012,CWE-260,0.1967,boost_common_term:file,"{""title_sim"": 0.44, ""desc_sim"": 0.042834100856799714, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009433962264150943}"
T1564.012,CWE-41,0.1781,"boost_common_term:path,file","{""title_sim"": 0.33898305084745756, ""desc_sim"": 0.07074166465675771, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02608695652173913}"
T1222.002,CWE-379,0.3438,"boost_common_term:directory,file,permissions;boost_subtech_title_match","{""title_sim"": 0.6582278481012659, ""desc_sim"": 0.18452692164625273, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0546875}"
T1222.002,CWE-276,0.2706,"boost_common_term:file,permissions","{""title_sim"": 0.55, ""desc_sim"": 0.1531244109294733, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04838709677419355}"
T1222.002,CWE-378,0.2641,boost_common_term:file,"{""title_sim"": 0.5714285714285715, ""desc_sim"": 0.1169829655312363, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03787878787878788}"
T1110.001,CWE-620,0.3241,boost_common_term:password;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.15322575350373088, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03067484662576687}"
T1110.001,CWE-640,0.3053,boost_common_term:password;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.09869450193423007, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018292682926829267}"
T1110.001,CWE-261,0.3034,boost_common_term:password;boost_subtech_title_match,"{""title_sim"": 0.64, ""desc_sim"": 0.09612152066278823, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.012578616352201259}"
T1216.001,CWE-415,0.1097,,"{""title_sim"": 0.35294117647058826, ""desc_sim"": 0.012695579628693558, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1216.001,CWE-62,0.0914,,"{""title_sim"": 0.2, ""desc_sim"": 0.05108517169113638, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.08035714285714286}"
T1216.001,CWE-127,0.0896,,"{""title_sim"": 0.26086956521739124, ""desc_sim"": 0.025523881648624368, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018518518518518517}"
T1597.002,CWE-1059,0.2511,boost_common_term:technical,"{""title_sim"": 0.576271186440678, ""desc_sim"": 0.0719898802898759, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03305785123966942}"
T1597.002,CWE-1067,0.1984,boost_common_term:data,"{""title_sim"": 0.43037974683544306, ""desc_sim"": 0.03980885787763885, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03669724770642202}"
T1597.002,CWE-1314,0.1929,boost_common_term:data,"{""title_sim"": 0.40540540540540543, ""desc_sim"": 0.04718536789307095, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.035398230088495575}"
T1003,CWE-1273,0.2280,,"{""title_sim"": 0.6451612903225806, ""desc_sim"": 0.0813884900689412, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1003,CWE-1392,0.2034,,"{""title_sim"": 0.5957446808510638, ""desc_sim"": 0.07118136039023025, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01639344262295082}"
T1003,CWE-1391,0.1987,,"{""title_sim"": 0.5454545454545454, ""desc_sim"": 0.09632130844934861, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03076923076923077}"
T1129,CWE-1047,0.2939,boost_common_term:modules,"{""title_sim"": 0.6666666666666665, ""desc_sim"": 0.11640573433500266, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.044642857142857144}"
T1129,CWE-567,0.2765,boost_common_term:shared,"{""title_sim"": 0.6, ""desc_sim"": 0.13186630001272054, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.034482758620689655}"
T1129,CWE-362,0.2746,boost_common_term:shared,"{""title_sim"": 0.6, ""desc_sim"": 0.1145864754770685, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05128205128205128}"
T1602,CWE-1051,0.2846,boost_common_term:data,"{""title_sim"": 0.6923076923076923, ""desc_sim"": 0.07882294100520804, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016129032258064516}"
T1602,CWE-15,0.2607,boost_common_term:configuration,"{""title_sim"": 0.5531914893617021, ""desc_sim"": 0.11526646685011788, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05084745762711865}"
T1602,CWE-260,0.2548,boost_common_term:configuration,"{""title_sim"": 0.6046511627906976, ""desc_sim"": 0.06774776250785332, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015625}"
T1561.002,CWE-495,0.2876,boost_common_term:structure;boost_subtech_title_match,"{""title_sim"": 0.6428571428571428, ""desc_sim"": 0.03951348219108546, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014598540145985401}"
T1561.002,CWE-228,0.2368,boost_subtech_title_match,"{""title_sim"": 0.6428571428571428, ""desc_sim"": 0.04158088005613904, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.007518796992481203}"
T1561.002,CWE-464,0.2346,boost_subtech_title_match,"{""title_sim"": 0.6428571428571428, ""desc_sim"": 0.039186955682645075, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1498.001,CWE-406,0.2827,boost_common_term:network,"{""title_sim"": 0.5185185185185186, ""desc_sim"": 0.21544477977573392, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0625}"
T1498.001,CWE-1331,0.2318,boost_common_term:network,"{""title_sim"": 0.5185185185185186, ""desc_sim"": 0.06762080114712612, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02962962962962963}"
T1498.001,CWE-1051,0.2272,boost_common_term:network,"{""title_sim"": 0.5185185185185186, ""desc_sim"": 0.06138488766262764, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016}"
T1492,CWE-1282,0.2704,"boost_common_term:stored,data","{""title_sim"": 0.6285714285714286, ""desc_sim"": 0.07639930779848647, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.044444444444444446}"
T1492,CWE-502,0.2552,boost_common_term:data,"{""title_sim"": 0.5964912280701754, ""desc_sim"": 0.06380583682502561, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03571428571428571}"
T1492,CWE-217,0.2222,,"{""title_sim"": 0.6285714285714286, ""desc_sim"": 0.11218535338553516, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1574.007,CWE-526,0.3398,"boost_common_term:environment,variable;boost_subtech_title_match","{""title_sim"": 0.6060606060606061, ""desc_sim"": 0.24972408263033724, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015267175572519083}"
T1574.007,CWE-563,0.2683,boost_common_term:variable,"{""title_sim"": 0.55, ""desc_sim"": 0.1676735461947369, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015151515151515152}"
T1574.007,CWE-427,0.2586,boost_common_term:path,"{""title_sim"": 0.48717948717948717, ""desc_sim"": 0.18413846179944365, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.036231884057971016}"
T1213.002,CWE-512,0.1712,,"{""title_sim"": 0.4705882352941177, ""desc_sim"": 0.058960768976686485, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.06172839506172839}"
T1213.002,CWE-507,0.1485,,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.06732410970468575, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0958904109589041}"
T1213.002,CWE-385,0.1438,,"{""title_sim"": 0.3870967741935484, ""desc_sim"": 0.056775479179075834, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05333333333333334}"
T1006,CWE-921,0.2480,boost_common_term:access,"{""title_sim"": 0.4615384615384615, ""desc_sim"": 0.14868966884016513, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.07462686567164178}"
T1006,CWE-1220,0.2413,boost_common_term:access,"{""title_sim"": 0.4615384615384615, ""desc_sim"": 0.14585447665666237, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.045454545454545456}"
T1006,CWE-284,0.2382,boost_common_term:access,"{""title_sim"": 0.5581395348837209, ""desc_sim"": 0.0591374650910757, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014925373134328358}"
T1044,CWE-379,0.2844,"boost_common_term:file,permissions","{""title_sim"": 0.6666666666666665, ""desc_sim"": 0.09611574990381096, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.027932960893854747}"
T1044,CWE-378,0.2779,boost_common_term:file,"{""title_sim"": 0.6666666666666665, ""desc_sim"": 0.07468806038935345, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.027624309392265192}"
T1044,CWE-276,0.2654,"boost_common_term:file,permissions","{""title_sim"": 0.5573770491803279, ""desc_sim"": 0.141498408943539, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.028735632183908046}"
T1588.007,CWE-407,0.1503,,"{""title_sim"": 0.456140350877193, ""desc_sim"": 0.03407444420540737, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016129032258064516}"
T1588.007,CWE-766,0.1488,,"{""title_sim"": 0.4666666666666666, ""desc_sim"": 0.029495871237677256, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
